reference,clip_id,clip_voyage_id,clip_image_filename,clip_scale,clip_rotation,clip_translation_x,clip_translation_y,clip_clip_x1,clip_clip_y1,clip_clip_width,clip_clip_height,image_path,pixel_x,pixel_y,pixel_width,pixel_height
831/4,195,38033,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (55).JPG,0.6459264706,186.00,-1529,-863,611,285,1101,187,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (55).JPG,2120.3,882.7,1704.5,289.5
831/4,196,38034,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (60).JPG,0.9892874084,999.99,-2103,-2044,112,339,1747,271,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (60).JPG,2215.4,2391.1,1765.9,273.9
831/4,197,38035,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (61).JPG,0.8426195425,183.00,-1921,-732,272,493,1479,212,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (61).JPG,2196.2,1149.0,1755.2,251.6
831/4,198,38036,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (62).JPG,0.9457009456,543.00,-1978,-741,177,456,1572,248,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (62).JPG,2153.8,1172.0,1662.3,262.2
831/4,199,38037,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (66).JPG,0.7105191176,903.00,-1825,-1362,355,201,1271,230,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (66).JPG,2181.6,1534.9,1788.8,323.7
831/4,200,38039,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (66).JPG,0.7105191176,903.00,-1825,-1362,346,377,1271,230,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (66).JPG,2169.0,1782.6,1788.8,323.7
831/5,1761,39653,E 190_831_5 Southampton 25 Dec 1680 - 25 Dec 1681 (4).JPG,0.7815710294,0.00,-722,-600,57,330,1398,203,831_5/E 190_831_5 Southampton 25 Dec 1680 - 25 Dec 1681 (4).JPG,388.6,733.8,1788.7,259.7
832/15,223,38062,E 190_832_15 Southampton 25 Dec 1682 - 25 Dec 1683 (4).JPG,0.9362439361,0.00,-438,-443,75,488,1665,148,832_15/E 190_832_15 Southampton 25 Dec 1682 - 25 Dec 1683 (4).JPG,399.8,883.3,1778.4,158.1
832/2,1763,39654,E 190_832_2 Southampton 25 Dec 1681 - 25 Dec 1682 (3).JPG,0.8597281324,0.00,-529,-712,277,417,1375,215,832_2/E 190_832_2 Southampton 25 Dec 1681 - 25 Dec 1682 (3).JPG,582.5,1046.9,1599.3,250.1
832/2,1764,39655,E 190_832_2 Southampton 25 Dec 1681 - 25 Dec 1682 (6).JPG,0.7815710294,3.00,-1866,-1148,376,375,1427,170,832_2/E 190_832_2 Southampton 25 Dec 1681 - 25 Dec 1682 (6).JPG,2260.4,1492.5,1825.8,217.5
